iter	Passed	Remaining
0	0	70
1	1	67
2	1	62
3	2	57
4	2	54
5	3	52
6	3	52
7	4	52
8	5	52
9	5	51
10	6	50
11	6	51
12	7	53
13	8	54
14	9	55
15	10	56
16	11	57
17	12	57
18	13	57
19	14	56
20	15	56
21	15	56
22	16	56
23	17	56
24	18	56
25	19	56
26	20	56
27	21	55
28	22	55
29	23	54
30	24	54
31	25	54
32	26	53
33	27	53
34	28	52
35	29	51
36	30	51
37	31	50
38	31	49
39	32	49
40	33	48
41	34	47
42	35	46
43	35	45
44	36	44
45	37	44
46	38	43
47	39	42
48	40	42
49	41	41
50	42	40
51	43	39
52	43	38
53	44	37
54	44	36
55	45	35
56	46	34
57	46	33
58	47	33
59	48	32
60	48	31
61	49	30
62	50	29
63	50	28
64	51	27
65	52	27
66	53	26
67	53	25
68	54	24
69	55	23
70	56	23
71	57	22
72	58	21
73	59	20
74	59	19
75	60	19
76	61	18
77	62	17
78	63	16
79	64	16
80	65	15
81	66	14
82	66	13
83	68	12
84	68	12
85	69	11
86	70	10
87	71	9
88	72	8
89	73	8
90	74	7
91	75	6
92	76	5
93	77	4
94	78	4
95	79	3
96	80	2
97	80	1
98	81	0
99	83	0
