iter	Passed	Remaining
0	93	93016
1	93	46755
2	94	31320
3	94	23596
4	95	18987
5	96	15920
6	96	13714
7	97	12065
8	98	10791
9	98	9764
10	99	8910
11	99	8202
12	100	7606
13	100	7092
14	101	6653
15	101	6271
16	102	5929
17	103	5619
18	103	5345
19	104	5106
20	104	4887
21	105	4686
22	106	4504
23	106	4338
24	107	4180
25	107	4040
26	108	3906
27	108	3781
28	109	3664
29	109	3556
30	110	3454
31	111	3359
32	111	3269
33	112	3185
34	112	3105
35	113	3030
36	113	2958
37	114	2891
38	114	2828
39	115	2767
40	115	2708
41	116	2653
42	116	2600
43	117	2550
44	117	2501
45	118	2457
46	119	2415
47	119	2374
48	120	2334
49	120	2294
50	121	2256
51	121	2220
52	122	2185
53	122	2152
54	123	2120
55	123	2089
56	124	2058
57	124	2028
58	125	2000
59	125	1972
60	126	1945
61	126	1920
62	127	1896
63	128	1872
64	128	1849
65	129	1829
66	129	1809
67	130	1788
68	131	1768
69	131	1747
70	132	1728
71	132	1709
72	133	1691
73	133	1675
74	134	1659
75	135	1643
76	135	1627
77	136	1610
78	136	1595
79	137	1581
80	138	1567
81	138	1552
82	139	1535
83	139	1521
84	140	1508
85	140	1495
86	141	1482
87	141	1469
88	142	1457
89	142	1445
90	143	1433
91	144	1422
92	144	1410
93	145	1398
94	145	1387
95	146	1375
96	146	1365
97	147	1354
98	147	1344
99	148	1334
100	148	1325
101	149	1316
102	150	1308
103	150	1298
104	151	1290
105	151	1281
106	152	1272
107	152	1263
108	153	1254
109	154	1246
110	154	1238
111	155	1230
112	155	1222
113	156	1214
114	156	1206
115	157	1199
116	157	1191
117	158	1184
118	158	1176
119	159	1170
120	160	1163
121	160	1155
122	161	1149
123	161	1142
124	162	1135
125	162	1129
126	163	1122
127	163	1116
128	164	1111
129	165	1105
130	165	1099
131	166	1094
132	166	1088
133	167	1083
134	168	1077
135	168	1072
136	169	1066
137	169	1060
138	170	1055
139	170	1049
140	171	1043
141	171	1037
142	172	1032
143	172	1027
144	173	1022
145	173	1017
146	174	1012
147	175	1007
148	175	1003
149	176	998
150	176	994
151	177	989
152	177	985
153	178	980
154	179	976
155	179	972
156	180	968
157	180	964
158	181	960
159	182	956
160	182	951
161	183	947
162	183	943
163	184	939
164	184	935
165	185	931
166	185	927
167	186	923
168	187	920
169	187	916
170	188	912
171	188	908
172	189	905
173	189	901
174	190	897
175	190	893
176	191	890
177	192	887
178	192	884
179	193	880
180	194	878
181	194	875
182	195	872
183	195	869
184	196	866
185	197	863
186	197	860
187	198	857
188	199	854
189	199	852
190	200	849
191	201	845
192	201	842
193	202	839
194	202	836
195	203	833
196	203	829
197	204	826
198	204	823
199	205	820
200	205	816
201	206	813
202	206	810
203	206	807
204	207	804
205	207	801
206	208	798
207	208	795
208	209	792
209	210	790
210	210	788
211	211	785
212	211	782
213	212	780
214	212	777
215	213	774
216	213	772
217	214	769
218	214	766
219	215	763
220	216	761
221	216	759
222	217	756
223	217	754
224	218	751
225	218	749
226	219	747
227	220	745
228	220	742
229	221	740
230	221	738
231	222	735
232	222	733
233	223	731
234	224	729
235	224	727
236	225	725
237	226	723
238	226	721
239	227	719
240	227	717
241	228	715
242	228	713
243	229	711
244	230	708
245	230	706
246	231	704
247	231	702
248	232	700
249	232	698
250	233	696
251	233	694
252	234	691
253	234	689
254	235	687
255	236	685
256	236	684
257	237	682
258	237	680
259	238	678
260	238	676
261	239	674
262	240	672
263	240	671
264	241	669
265	242	668
266	242	666
267	243	664
268	243	662
269	244	660
270	245	659
271	245	657
272	246	655
273	246	653
274	247	652
275	248	650
276	248	648
277	249	647
278	249	645
279	250	643
280	250	641
281	251	640
282	252	638
283	252	636
284	253	635
285	253	633
286	254	632
287	255	630
288	255	629
289	256	628
290	257	626
291	257	625
292	258	623
293	259	622
294	259	620
295	260	618
296	260	617
297	261	615
298	261	614
299	262	612
300	262	610
301	263	609
302	264	607
303	264	606
304	265	604
305	265	602
306	266	601
307	266	599
308	267	598
309	268	596
310	268	594
311	269	593
312	269	592
313	270	590
314	271	589
315	271	588
316	272	586
317	272	585
318	273	583
319	273	582
320	274	580
321	275	579
322	275	577
323	276	576
324	276	574
325	277	573
326	277	571
327	278	570
328	278	568
329	279	567
330	280	566
331	280	564
332	281	562
333	281	561
334	282	560
335	282	558
336	283	557
337	283	556
338	284	554
339	285	553
340	285	552
341	286	550
342	286	549
343	287	548
344	288	546
345	288	545
346	289	544
347	289	542
348	290	541
349	290	539
350	291	538
351	291	537
352	292	535
353	292	534
354	293	532
355	293	531
356	294	530
357	294	528
358	295	527
359	296	526
360	296	525
361	297	523
362	297	522
363	298	521
364	299	520
365	299	519
366	300	518
367	301	517
368	301	515
369	302	514
370	302	513
371	303	512
372	303	510
373	304	509
374	305	508
375	305	507
376	306	506
377	306	504
378	307	503
379	307	502
380	308	500
381	308	499
382	309	498
383	309	496
384	310	495
385	310	494
386	311	493
387	312	492
388	312	490
389	313	489
390	313	488
391	314	487
392	314	486
393	315	485
394	315	483
395	316	482
396	317	481
397	317	480
398	318	479
399	318	478
400	319	476
401	319	475
402	320	474
403	320	473
404	321	472
405	321	471
406	322	469
407	322	468
408	323	467
409	324	466
410	324	465
411	325	464
412	325	462
413	326	461
414	326	460
415	327	459
416	328	458
417	328	457
418	329	456
419	329	455
420	330	454
421	331	453
422	331	452
423	332	451
424	333	450
425	333	449
426	334	448
427	334	447
428	335	446
429	336	445
430	336	444
431	337	443
432	337	442
433	338	441
434	338	440
435	339	439
436	340	438
437	340	436
438	341	435
439	341	434
440	342	433
441	342	432
442	343	431
443	343	430
444	344	429
445	345	428
446	345	427
447	346	426
448	347	425
449	347	424
450	348	423
451	348	422
452	349	421
453	349	420
454	350	419
455	351	418
456	351	417
457	352	416
458	352	415
459	353	414
460	353	413
461	354	412
462	354	411
463	355	410
464	356	409
465	356	408
466	357	407
467	357	406
468	358	405
469	358	404
470	359	403
471	360	402
472	360	401
473	361	401
474	362	400
475	362	399
476	363	398
477	364	397
478	364	396
479	365	395
480	365	394
481	366	393
482	367	392
483	367	391
484	368	390
485	368	390
486	369	388
487	369	388
488	370	387
489	371	386
490	371	385
491	372	384
492	372	383
493	373	382
494	373	381
495	374	380
496	374	379
497	375	378
498	376	377
499	376	376
500	377	376
501	378	375
502	378	374
